energies,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,state17,state18,state19,state20,err0,err1,err2,err3,err4,err5,err6,err7,err8,err9,err10,err11,err12,err13,err14,err15,err16,err17,err18,err19,err20,mean,std,q0,q1,q2,q3,q4,total
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,375.0,824.0,556.0,181.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005001249843163424,0.0027635937560610557,0.00873151199865909,0.011009392316967126,0.010021930118904477,0.006418256003372637,0.0027193449045425657,0.0005001249843163424,0.0,0.0,14.286143071535768,0.9778134795253699,11.0,14.0,14.0,15.0,18.0,1999.0
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,104.0,420.0,632.0,584.0,233.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009989994994993741,0.004964675215963275,0.00910768905925098,0.010395768369870502,0.01016700545883595,0.007173832657652393,0.002332273568859365,0.0004998749843710925,0.0,0.0,14.24,1.1153573467752398,11.0,13.0,14.0,15.0,18.0,2000.0
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,236.0,786.0,755.0,178.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008653756409791069,0.0027179955849853765,0.007213736895673421,0.010921332336304029,0.010839597547879718,0.006367063687446514,0.0017268468374467957,0.0,0.0,0.0,14.421,0.8956338984428964,11.0,14.0,14.0,15.0,17.0,2000.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,175.0,817.0,825.0,160.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022248595461286987,0.006318375978050055,0.010991536516793273,0.01100780972764337,0.00606630035524124,0.0008653756409791069,0.0,0.0,0.0,14.4695,0.8083294181360171,12.0,14.0,14.0,15.0,17.0,2000.0
0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,225.0,963.0,614.0,153.0,28.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015771810295587506,0.0070655413805312895,0.01117268432383194,0.010313849911647929,0.005943389184631947,0.002627165773224065,0.001116635571706365,0.0007067531393633848,0.0,14.3945,0.8838893483859251,12.0,14.0,14.0,15.0,19.0,2000.0
0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,408.0,627.0,483.0,340.0,115.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004998749843710925,0.0022248595461286987,0.009010660353159474,0.010373469766669204,0.00957020767799738,0.008399404740813483,0.005205465877325487,0.0012229063741758812,0.0,0.0,14.5405,1.2016995426875425,11.0,14.0,14.0,15.0,18.0,2000.0
0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,80.0,531.0,490.0,494.0,340.0,60.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007067531393633848,0.004381780460041329,0.009874455681200862,0.00961704216482386,0.009643417444039223,0.008399404740813483,0.00381444622455213,0.0008653756409791069,0.0,0.0,14.3345,1.2427316447932295,11.0,13.0,14.0,15.0,18.0,2000.0
0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,75.0,324.0,663.0,611.0,288.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004998749843710925,0.004248161366991607,0.008238810593768981,0.010526341957204316,0.010299751210587564,0.00785060507222214,0.003013117156700018,0.0004998749843710925,0.0,0.0,14.4125,1.096788595223029,11.0,14.0,14.0,15.0,18.0,2000.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,71.0,279.0,597.0,721.0,297.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013205585939290994,0.004137617067830226,0.007747249511923571,0.010232246820713425,0.010736380907922371,0.007951344225978398,0.0025804796065847916,0.0004998749843710925,0.0,0.0,14.479,1.080806676300516,11.0,14.0,15.0,15.0,18.0,2000.0
