energies,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,state17,state18,state19,state20,err0,err1,err2,err3,err4,err5,err6,err7,err8,err9,err10,err11,err12,err13,err14,err15,err16,err17,err18,err19,err20,mean,std,q0,q1,q2,q3,q4,total
0.2,18.0,29.0,25.0,36.0,49.0,61.0,88.0,110.0,149.0,177.0,209.0,253.0,210.0,237.0,194.0,112.0,40.0,3.0,0.0,0.0,0.0,0.002111752826445368,0.0026729898989708138,0.002484325864293974,0.0029728773940409987,0.003456859123539749,0.0038451105315712316,0.0045860658521220555,0.005097793640389928,0.005871530890662162,0.0063508956061330436,0.006840312492861711,0.007432958697584697,0.006854742883580682,0.007226954752867904,0.006617816860566633,0.005141206084179081,0.0031304951684997056,0.0008653756409791069,0.0,0.0,0.0,10.166,3.510499366600349,0.0,8.0,11.0,13.0,17.0,2000.0
0.3,22.0,52.0,42.0,67.0,82.0,127.0,136.0,163.0,172.0,214.0,227.0,177.0,196.0,137.0,113.0,49.0,22.0,2.0,0.0,0.0,0.0,0.002332273568859365,0.003558370413546066,0.0032061659345704488,0.004023540107914919,0.004433903472111228,0.005452877680637995,0.005629209535982827,0.006117914268768401,0.0062691307212403855,0.0069119823495145,0.007092874946028584,0.0063508956061330436,0.006648157639526909,0.0056483515294287415,0.005162739098579358,0.003456859123539749,0.002332273568859365,0.0007067531393633848,0.0,0.0,0.0,8.806,3.6286288696609454,0.0,6.0,9.0,12.0,17.0,2000.0
0.4,41.0,52.0,74.0,90.0,115.0,130.0,159.0,196.0,181.0,179.0,188.0,191.0,147.0,122.0,70.0,50.0,13.0,2.0,0.0,0.0,0.0,0.00316857617866448,0.003558370413546066,0.0042208411483968455,0.004635461142108733,0.005205465877325487,0.005512485827646181,0.006048956521582875,0.006648157639526909,0.006415206543830058,0.006383171233799075,0.006525488487462069,0.006571900410079264,0.005835141386461857,0.005351588549206675,0.004109440351191388,0.0034910600109422352,0.0017969070649312946,0.0007067531393633848,0.0,0.0,0.0,8.134,3.7364454381478844,0.0,5.0,8.0,11.0,17.0,2000.0
0.5,50.0,82.0,93.0,130.0,130.0,168.0,164.0,153.0,199.0,163.0,151.0,157.0,121.0,112.0,69.0,38.0,16.0,4.0,0.0,0.0,0.0,0.0034910600109422352,0.004433903472111228,0.004708383480558906,0.005512485827646181,0.005512485827646181,0.0062025801083097675,0.006134981662564282,0.005943389184631947,0.006693270874542581,0.006117914268768401,0.005907611615534657,0.006014056451347958,0.005331029450303197,0.005141206084179081,0.004081038470781672,0.003052785613173647,0.0019919839356781974,0.0009989994994993741,0.0,0.0,0.0,7.5685,3.9031942319856823,0.0,5.0,8.0,11.0,17.0,2000.0
0.6,64.0,86.0,85.0,124.0,124.0,155.0,165.0,192.0,180.0,162.0,143.0,149.0,134.0,92.0,69.0,43.0,27.0,5.0,1.0,0.0,0.0,0.0039354796403996304,0.004536022486716748,0.0045107510461119445,0.005392402062161166,0.005392402062161166,0.005978869040211535,0.006151981388138297,0.006587260432076449,0.006399218702310462,0.006100778638829638,0.005761412587204634,0.005871530890662162,0.005590661857061291,0.00468422885862764,0.004081038470781672,0.003243281517229116,0.0025804796065847916,0.001116635571706365,0.0004998749843710925,0.0,0.0,7.575,3.9811178894658363,0.0,5.0,8.0,11.0,18.0,2000.0
0.7,54.0,75.0,122.0,111.0,133.0,150.0,182.0,173.0,166.0,173.0,167.0,146.0,107.0,79.0,80.0,41.0,35.0,6.0,0.0,0.0,0.0,0.0036242930345103167,0.004248161366991607,0.005351588549206675,0.005119558086397693,0.005571254347092763,0.005889609494694873,0.006431135203057078,0.006285608562422576,0.006168914004912048,0.006285608562422576,0.006185780063985464,0.005816829033072916,0.005031786462082826,0.00435544199823623,0.004381780460041329,0.00316857617866448,0.002932042803234632,0.0012229063741758812,0.0,0.0,0.0,7.553,3.9843604962756736,0.0,5.0,7.5,10.0,17.0,2000.0
0.8,64.0,94.0,103.0,137.0,155.0,156.0,170.0,153.0,164.0,175.0,153.0,131.0,112.0,83.0,63.0,48.0,31.0,8.0,0.0,0.0,0.0,0.0039354796403996304,0.00473238840333293,0.004942051699446294,0.0056483515294287415,0.005978869040211535,0.005996498978570746,0.0062359842847781455,0.005943389184631947,0.006134981662564282,0.006318375978050055,0.005943389184631947,0.005532167296819575,0.005141206084179081,0.004459694496263169,0.0039056209493497957,0.00342227994179319,0.0027622228367747597,0.001411382301150188,0.0,0.0,0.0,7.3585,4.051565789009396,0.0,4.0,7.0,10.0,17.0,2000.0
0.9,67.0,97.0,113.0,126.0,164.0,178.0,147.0,163.0,183.0,152.0,151.0,104.0,112.0,89.0,70.0,52.0,28.0,3.0,1.0,0.0,0.0,0.004023540107914919,0.004803527349771208,0.005162739098579358,0.005432816948876522,0.006134981662564282,0.006367063687446514,0.005835141386461857,0.006117914268768401,0.00644700511865781,0.005925537950262406,0.005907611615534657,0.004964675215963275,0.005141206084179081,0.004610843198374892,0.004109440351191388,0.003558370413546066,0.002627165773224065,0.0008653756409791069,0.0004998749843710925,0.0,0.0,7.267,4.067552518621716,0.0,4.0,7.0,10.0,18.0,2000.0
1.0,80.0,105.0,124.0,120.0,144.0,165.0,151.0,186.0,159.0,172.0,133.0,126.0,122.0,79.0,62.0,49.0,17.0,5.0,1.0,0.0,0.0,0.004381780460041329,0.004987171041783107,0.005392402062161166,0.0053103672189407005,0.005779965397820302,0.006151981388138297,0.005907611615534657,0.0064942667022536114,0.006048956521582875,0.0062691307212403855,0.005571254347092763,0.005432816948876522,0.005351588549206675,0.00435544199823623,0.003875499967746097,0.003456859123539749,0.0020527725154044713,0.001116635571706365,0.0004998749843710925,0.0,0.0,7.1635,4.056845664845311,0.0,4.0,7.0,10.0,18.0,2000.0
