energies,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,state17,state18,state19,state20,err0,err1,err2,err3,err4,err5,err6,err7,err8,err9,err10,err11,err12,err13,err14,err15,err16,err17,err18,err19,err20,mean,std,q0,q1,q2,q3,q4,total
0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,117.0,308.0,585.0,538.0,323.0,92.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007067531393633848,0.0015771810295587506,0.0052477495176503994,0.008071059410015515,0.01017211261243209,0.009915618992276781,0.008228540271518394,0.00468422885862764,0.002484325864293974,0.0,0.0,0.0,0.0,0.0,0.0,10.49,1.3186240497929447,6.0,10.0,10.0,11.0,14.0,2000.0
0.3,0.0,0.0,0.0,0.0,0.0,3.0,77.0,348.0,683.0,568.0,253.0,57.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008653756409791069,0.004302194207610809,0.008477145746063352,0.010603719866160178,0.010083253443209686,0.007432958697584697,0.0037207358143249033,0.0016537457482938543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.389,1.151234846082857,5.0,8.0,8.0,9.0,12.0,2000.0
0.4,0.0,0.0,0.0,0.0,4.0,65.0,359.0,711.0,552.0,249.0,55.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009989994994993741,0.003965081966365891,0.008581367897951934,0.010703264688869467,0.009995599031573845,0.007382403064043577,0.0036567574434189644,0.001116635571706365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.367,1.1202403622591974,4.0,7.0,7.0,8.0,11.0,2000.0
0.5,0.0,0.0,0.0,1.0,17.0,245.0,584.0,650.0,368.0,115.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004998749843710925,0.0020527725154044713,0.007331226022978693,0.01016700545883595,0.010473180032826705,0.008664409962599876,0.005205465877325487,0.0019292161620720473,0.001116635571706365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.767,1.1551528855933084,3.0,6.0,7.0,8.0,11.0,2000.0
0.6,0.0,0.0,0.0,2.0,78.0,386.0,580.0,586.0,276.0,83.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007067531393633848,0.004328914413568372,0.008824709626950906,0.010146427942877236,0.010177204920802175,0.007712198130234985,0.004459694496263169,0.001411382301150188,0.0004998749843710925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.438,1.20908516799758,3.0,6.0,6.0,7.0,11.0,2000.0
0.7,0.0,0.0,0.0,5.0,98.0,418.0,676.0,488.0,235.0,65.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001116635571706365,0.0048269555622566076,0.009091727008660126,0.010577239715540155,0.009603749267864087,0.007200477414727443,0.003965081966365891,0.0018642692938521516,0.0004998749843710925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2925,1.2139524662420471,3.0,5.0,6.0,7.0,11.0,2000.0
0.8,0.0,0.0,0.0,6.0,138.0,480.0,637.0,448.0,226.0,51.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012229063741758812,0.005667406814408156,0.009549869109050658,0.010417719280149566,0.009322660564452618,0.0070792301841372555,0.003524893615415932,0.0017268468374467957,0.0007067531393633848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1685,1.2417240793931126,3.0,5.0,6.0,7.0,11.0,2000.0
0.9,0.0,0.0,1.0,15.0,154.0,490.0,640.0,444.0,184.0,55.0,14.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004998749843710925,0.0019292161620720473,0.0059611659933271445,0.00961704216482386,0.010430723848324237,0.009292900515985308,0.006462816723379984,0.0036567574434189644,0.0018642692938521516,0.0007067531393633848,0.0004998749843710925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.101,1.2694899772748107,2.0,5.0,6.0,7.0,12.0,2000.0
1.0,0.0,0.0,0.0,34.0,143.0,483.0,644.0,421.0,193.0,60.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002890588175441116,0.005761412587204634,0.00957020767799738,0.010447870596442128,0.009115639034099584,0.006602565789145913,0.00381444622455213,0.002169072382379159,0.0008653756409791069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1035,1.3140209570390302,3.0,5.0,6.0,7.0,11.0,2000.0
