energies,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,state17,state18,state19,state20,err0,err1,err2,err3,err4,err5,err6,err7,err8,err9,err10,err11,err12,err13,err14,err15,err16,err17,err18,err19,err20,mean,std,q0,q1,q2,q3,q4,total
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,16.0,16.0,16.0,16.0,2000.0
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,16.0,16.0,16.0,16.0,2000.0
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,16.0,16.0,16.0,16.0,2000.0
0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,5.0,16.0,30.0,596.0,1340.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0004998749843710925,0.0,0.0,0.0004998749843710925,0.0004998749843710925,0.0,0.0,0.0,0.0008653756409791069,0.0004998749843710925,0.001116635571706365,0.0019919839356781974,0.0027179955849853765,0.010227316363543272,0.01051427600931229,0.0012229063741758812,0.0,0.0,0.0,15.612,0.7731460906185317,2.0,15.0,16.0,16.0,17.0,2000.0
0.6,2.0,14.0,45.0,45.0,53.0,38.0,33.0,47.0,58.0,79.0,90.0,134.0,180.0,366.0,568.0,217.0,29.0,2.0,0.0,0.0,0.0,0.0007067531393633848,0.0018642692938521516,0.0033161536454151216,0.0033161536454151216,0.0035915003828483716,0.003052785613173647,0.0028484864401994267,0.0033873108803297047,0.003752265982043384,0.00435544199823623,0.004635461142108733,0.005590661857061291,0.006399218702310462,0.008646126300257243,0.010083253443209686,0.006954414065900879,0.0026729898989708138,0.0007067531393633848,0.0,0.0,0.0,11.67,3.519700860452993,0.0,10.0,13.0,14.0,17.0,2000.0
0.7,3.0,52.0,99.0,168.0,152.0,90.0,99.0,124.0,136.0,148.0,169.0,223.0,281.0,169.0,69.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0008653756409791069,0.003558370413546066,0.004850244839180801,0.0062025801083097675,0.005925537950262406,0.004635461142108733,0.004850244839180801,0.005392402062161166,0.005629209535982827,0.005853375094763704,0.006219314672855845,0.007038030619427568,0.007770448828735699,0.006219314672855845,0.004081038470781672,0.002111752826445368,0.0,0.0,0.0,0.0,0.0,8.321,3.807388488656204,0.0,5.0,9.0,12.0,15.0,2000.0
0.8,3.0,87.0,192.0,255.0,216.0,193.0,175.0,178.0,150.0,171.0,160.0,133.0,66.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0008653756409791069,0.004561126505590478,0.006587260432076449,0.007458007441669658,0.0069403169956422026,0.006602565789145913,0.006318375978050055,0.006367063687446514,0.005889609494694873,0.006252589463574272,0.00606630035524124,0.005571254347092763,0.003994433626936364,0.002169072382379159,0.0004998749843710925,0.0004998749843710925,0.0,0.0,0.0,0.0,0.0,6.1155,3.189395847638933,0.0,3.0,6.0,9.0,15.0,2000.0
0.9,11.0,118.0,273.0,391.0,305.0,220.0,181.0,156.0,121.0,108.0,71.0,31.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016537457482938543,0.0052687284993630104,0.007676840170278394,0.008867912663079175,0.008038773227302782,0.006996427659884721,0.006415206543830058,0.005996498978570746,0.005331029450303197,0.005053909377897471,0.004137617067830226,0.0027622228367747597,0.0017268468374467957,0.0007067531393633848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.748,2.607469165248913,0.0,3.0,4.0,7.0,13.0,2000.0
1.0,20.0,128.0,401.0,519.0,377.0,237.0,120.0,94.0,53.0,26.0,21.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022248595461286987,0.005472842040475863,0.008952646256833787,0.009802034227648871,0.008745505988792188,0.007226954752867904,0.0053103672189407005,0.00473238840333293,0.0035915003828483716,0.0025328837320335094,0.002279226842593778,0.0008653756409791069,0.0004998749843710925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7355,1.9347897704215473,0.0,2.0,3.0,5.0,12.0,2000.0
