energies,state0,state1,state2,state3,state4,state5,state6,state7,state8,state9,state10,state11,state12,state13,state14,state15,state16,state17,state18,state19,state20,err0,err1,err2,err3,err4,err5,err6,err7,err8,err9,err10,err11,err12,err13,err14,err15,err16,err17,err18,err19,err20,mean,std,q0,q1,q2,q3,q4,total
0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004998749843710925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004998749843710925,0.0,0.0,0.0,0.0004998749843710925,0.0008653756409790912,0.0,0.0,0.0,0.0,15.9905,0.3121834064129927,3.0,16.0,16.0,16.0,16.0,2000.0
0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,1989.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0004998749843710925,0.0,0.0,0.0,0.0,0.0,0.0,0.0004998749843710925,0.0004998749843710925,0.0,0.0004998749843710925,0.0,0.0004998749843710925,0.001116635571706365,0.0016537457482938467,0.0004998749843710925,0.0,0.0,0.0,15.9815,0.3914516153799747,2.0,16.0,16.0,16.0,17.0,2000.0
0.4,2.0,3.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,5.0,13.0,1964.0,0.0,0.0,0.0,0.0,0.0007067531393633848,0.0008653756409791069,0.0007067531393633848,0.0,0.0004998749843710925,0.0007067531393633848,0.0004998749843710925,0.0,0.0004998749843710925,0.0007067531393633848,0.0,0.0,0.0004998749843710925,0.0008653756409791069,0.001116635571706365,0.0017969070649312946,0.002972877394041,0.0,0.0,0.0,0.0,15.8965,1.068343778572519,0.0,16.0,16.0,16.0,16.0,2000.0
0.5,3.0,3.0,6.0,3.0,5.0,2.0,5.0,4.0,5.0,3.0,9.0,13.0,14.0,22.0,45.0,96.0,1761.0,1.0,0.0,0.0,0.0,0.0008653756409791069,0.0008653756409791069,0.0012229063741758812,0.0008653756409791069,0.001116635571706365,0.0007067531393633848,0.001116635571706365,0.0009989994994993741,0.001116635571706365,0.0008653756409791069,0.0014966211945579282,0.0017969070649312946,0.0018642692938521516,0.002332273568859365,0.0033161536454151216,0.0047799581588126895,0.0072532665055132246,0.0004998749843710925,0.0,0.0,0.0,15.5645,1.7819729132991513,0.0,16.0,16.0,16.0,17.0,2000.0
0.6,62.0,87.0,79.0,41.0,37.0,36.0,35.0,36.0,41.0,54.0,72.0,81.0,115.0,156.0,232.0,341.0,491.0,3.0,0.0,0.0,0.0,0.0038774076599454653,0.004563356299425978,0.004357575984847285,0.003170144663840729,0.003014610256355923,0.002974350939499265,0.0029334964887483142,0.002974350939499265,0.003170144663840729,0.0036260809194705317,0.004167618089052189,0.0044100916973366785,0.005207990438511627,0.005999371775670086,0.007163793787414726,0.008412987844504567,0.009627692828296336,0.0008658082199230539,0.0,0.0,0.0,11.63631815907954,5.017417276543019,0.0,9.0,14.0,15.0,17.0,1999.0
0.7,159.0,207.0,150.0,106.0,79.0,79.0,77.0,78.0,90.0,98.0,121.0,131.0,114.0,145.0,122.0,106.0,129.0,7.0,1.0,0.0,0.0,0.006051851774518838,0.006814515508090323,0.005892436267919532,0.005011976758700238,0.004357575984847285,0.004357575984847285,0.004304303270799633,0.004331035989582026,0.004637725370937833,0.004829308007883315,0.005333610387688399,0.005534837727613549,0.005186673519750088,0.0058012245321708775,0.005354178680916632,0.005011976758700238,0.0054953640364716035,0.0013212180428227528,0.0005001249843163424,0.0,0.0,7.778389194597299,5.310707751649184,0.0,2.0,8.0,13.0,18.0,1999.0
0.8,249.0,278.0,218.0,128.0,115.0,92.0,102.0,86.0,94.0,86.0,102.0,90.0,85.0,79.0,66.0,54.0,58.0,16.0,0.0,0.0,0.0,0.007389266881493993,0.007742717172840411,0.006975013011871633,0.005478132877144313,0.0052105174459776875,0.00468880461669275,0.004924090503443567,0.004540460938037981,0.004737008597844852,0.004540460938037981,0.004924090503443567,0.004639991810873423,0.004515166002741379,0.004359712062227951,0.00399836376454537,0.003627870568724456,0.003755965858585681,0.001993969865293742,0.0,0.0,0.0,5.88038038038038,4.976681272714854,0.0,1.0,5.0,10.0,17.0,1998.0
0.9,304.0,316.0,274.0,145.0,114.0,98.0,88.0,91.0,93.0,96.0,91.0,65.0,62.0,41.0,31.0,46.0,36.0,6.0,0.0,2.0,0.0,0.008031607043149766,0.008159553759300229,0.007692201282518677,0.0058012245321708775,0.005186673519750088,0.004829308007883315,0.004588307210485799,0.004662197747028727,0.004710681387930238,0.004782289021228895,0.004662197747028727,0.00396703216715997,0.0038774076599454653,0.003170144663840729,0.0027635937560610557,0.0033535967980174246,0.002974350939499265,0.0012235172123819264,0.0,0.0007071065156675695,0.0,4.882441220610305,4.563717164524932,0.0,1.0,3.0,8.0,19.0,1999.0
1.0,356.0,388.0,248.0,154.0,123.0,95.0,100.0,80.0,76.0,62.0,56.0,57.0,41.0,46.0,38.0,41.0,25.0,10.0,1.0,3.0,0.0,0.008553244998244818,0.008842058583836685,0.007369667563737186,0.0059611659933271445,0.005372045699731156,0.004756245893559331,0.004873397172404482,0.004381780460041329,0.004275277768753745,0.003875499967746097,0.0036889022757454555,0.0037207358143249033,0.00316857617866448,0.003351939736928455,0.003052785613173647,0.00316857617866448,0.002484325864293974,0.0015771810295587506,0.0004998749843710925,0.0008653756409791069,0.0,4.354,4.481375387387375,0.0,1.0,3.0,7.0,19.0,2000.0
